time,action,qty,price,spread,reason,order_price,ask,bid,last,position,cash
2025-08-01 09:00:28.000,BUY_OK,1,1685.2,0.599999999999909,by_bid_condition,1685.2,1685.8,1685.2,1685.8,1,-1685.2
2025-08-01 09:00:28.500,BUY_OK,1,1685.2,0.599999999999909,by_bid_condition,1685.2,1685.8,1685.2,1685.8,2,-3370.4
2025-08-01 09:00:29.000,BUY_OK,1,1685.1,0.7000000000000455,by_bid_condition,1685.1,1685.8,1685.1,1685.8,3,-5055.5
2025-08-01 09:00:37.500,BUY_OK,1,1682.4,0.09999999999990905,by_bid_condition,1682.4,1682.5,1682.4,1682.5,4,-6737.9
2025-08-01 09:00:58.000,BUY_OK,1,1682.2,0.3999999999998636,by_bid_condition,1682.2,1682.6,1682.2,1682.6,5,-8420.1
2025-08-01 09:00:58.500,BUY_OK,1,1682.2,0.7000000000000455,by_bid_condition,1682.2,1682.9,1682.2,1682.7,6,-10102.300000000001
2025-08-01 09:01:02.500,BUY_OK,1,1681.6,0.6000000000001364,by_bid_condition,1681.6,1682.2,1681.6,1682.8,7,-11783.900000000001
2025-08-01 09:01:10.000,BUY_OK,1,1681.3,0.10000000000013642,by_bid_condition,1681.3,1681.4,1681.3,1681.4,8,-13465.2
2025-08-01 09:01:14.500,BUY_OK,1,1681.6,0.6000000000001364,by_lastprice,1681.6,1682.2,1681.6,1681.6,9,-15146.800000000001
2025-08-01 09:01:20.000,BUY_OK,1,1681.7,0.09999999999990905,by_bid_condition,1681.7,1681.8,1681.7,1682.1,10,-16828.5
2025-08-01 09:01:22.500,BUY_OK,1,1681.8,0.10000000000013642,by_lastprice,1681.8,1681.9,1681.8,1681.8,11,-18510.3
2025-08-01 09:01:23.000,BUY_OK,1,1682.4,0.2999999999999545,by_lastprice,1682.4,1682.7,1682.4,1681.9,12,-20192.7
2025-08-01 09:01:31.500,BUY_OK,1,1681.8,0.20000000000004547,by_bid_condition,1681.8,1682.0,1681.8,1682.0,13,-21874.5
2025-08-01 09:01:47.000,BUY_OK,1,1681.4,0.599999999999909,by_lastprice,1681.4,1682.0,1681.4,1681.2,14,-23555.9
2025-08-01 09:01:51.500,BUY_OK,1,1679.5,0.7000000000000455,by_bid_condition,1679.5,1680.2,1679.5,1680.2,15,-25235.4
2025-08-01 09:01:53.500,BUY_OK,1,1678.8,0.6000000000001364,by_bid_condition,1678.8,1679.4,1678.8,1680.2,16,-26914.2
2025-08-01 09:02:03.000,BUY_OK,1,1678.0,0.40000000000009095,by_bid_condition,1678.0,1678.4,1678.0,1678.7,17,-28592.2
2025-08-01 09:02:04.000,BUY_OK,1,1679.2,0.5,by_lastprice,1679.2,1679.7,1679.2,1678.0,18,-30271.4
2025-08-01 09:02:07.000,BUY_OK,1,1679.8,0.20000000000004547,by_lastprice,1679.8,1680.0,1679.8,1678.7,19,-31951.2
2025-08-01 09:02:13.000,BUY_OK,1,1685.1,0.8000000000001819,by_lastprice,1685.1,1685.9,1685.1,1682.0,20,-33636.3
2025-08-01 09:02:33.000,BUY_OK,1,1688.1,0.8000000000001819,by_lastprice,1688.1,1688.9,1688.1,1688.1,21,-35324.4
2025-08-01 09:02:34.500,BUY_OK,1,1688.9,0.1999999999998181,by_lastprice,1688.9,1689.1,1688.9,1688.9,22,-37013.3
2025-08-01 09:02:37.500,BUY_OK,1,1692.2,0.7000000000000455,by_lastprice,1692.2,1692.9,1692.2,1689.1,23,-38705.5
2025-08-01 09:02:47.500,BUY_OK,1,1691.8,0.20000000000004547,by_lastprice,1691.8,1692.0,1691.8,1691.8,24,-40397.3
2025-08-01 09:03:09.500,BUY_OK,1,1686.5,0.7000000000000455,by_bid_condition,1686.5,1687.2,1686.5,1688.9,25,-42083.8
2025-08-01 09:03:49.500,BUY_OK,1,1689.0,0.7999999999999545,by_lastprice,1689.0,1689.8,1689.0,1689.0,26,-43772.8
2025-08-01 09:03:50.000,BUY_OK,1,1689.0,0.7999999999999545,by_lastprice,1689.0,1689.8,1689.0,1689.0,27,-45461.8
2025-08-01 09:03:51.500,BUY_OK,1,1689.1,0.7000000000000455,by_lastprice,1689.1,1689.8,1689.1,1689.0,28,-47150.9
2025-08-01 09:03:56.000,BUY_OK,1,1689.0,0.7999999999999545,by_bid_condition,1689.0,1689.8,1689.0,1689.1,29,-48839.9
2025-08-01 09:03:56.500,BUY_OK,1,1689.0,0.7000000000000455,by_bid_condition,1689.0,1689.7,1689.0,1689.1,30,-50528.9
2025-08-01 09:04:10.000,BUY_OK,1,1688.7,0.8999999999998636,by_bid_condition,1688.7,1689.6,1688.7,1689.7,31,-52217.6
2025-08-01 09:04:10.500,BUY_OK,1,1689.8,0.20000000000004547,by_lastprice,1689.8,1690.0,1689.8,1689.8,32,-53907.4
2025-08-01 09:04:12.500,BUY_OK,1,1690.4,0.5,by_lastprice,1690.4,1690.9,1690.4,1690.0,33,-55597.8
2025-08-01 09:04:13.000,BUY_OK,1,1690.4,0.5,by_lastprice,1690.4,1690.9,1690.4,1690.0,34,-57288.200000000004
2025-08-01 09:04:43.500,BUY_OK,1,1690.0,0.900000000000091,by_bid_condition,1690.0,1690.9,1690.0,1690.7,35,-58978.200000000004
2025-08-01 09:04:51.000,BUY_OK,1,1688.1,0.5,by_bid_condition,1688.1,1688.6,1688.1,1689.5,36,-60666.3
2025-08-01 09:05:02.500,BUY_OK,1,1691.2,0.7999999999999545,by_lastprice,1691.2,1692.0,1691.2,1691.0,37,-62357.5
